[00:00:00 --> 00:00:02]  Здравствуйте!
[00:04:19 --> 00:04:25]  В время работы высокоовольного генератора, это время ускоренного сождения дыма на продукте.
[00:04:25 --> 00:04:30]  За счет разности потенциалов между продуктов и ускорительными.
[00:04:30 --> 00:04:33]  Время поозы высокоовольного генератора.
[00:04:33 --> 00:04:36]  Это время, за которой в камере накапливается дым.
[00:04:36 --> 00:04:39]  Время работы это общие время работы камеры.
[00:04:39 --> 00:04:46]  Данный параметры позволяет контролировать интенсивность процесса к обчения в зависимости от продукции.
[00:04:46 --> 00:04:52]  После обставления необходимых параметров мы запускаем процесс к обчения клавировшей пуск.
[00:04:56 --> 00:05:01]  Электростатические принципы к обчения позволяет значительно ускорить приготовления продукта.
[00:05:01 --> 00:05:10]  То есть за одну загрузку в течение 40-60 минут вы получаете 60-60 килограммов готовые продукции.
[00:05:10 --> 00:05:18]  Если считать 8 часов рабочую смену, в течение нее вы получаете до полутоны готовые продукции.
[00:05:19 --> 00:05:22]  Это был обзор к обтильной камеры.
[00:05:22 --> 00:05:25]  Холодного копчения и жутца 1200M4.
[00:05:25 --> 00:05:28]  Спасибо за внимание и хорошего вам дыма.
